ID,Data Bytes
00000260,00 00 00 00 00 00 00 6A 
000002C4,03 80 00 1A 04 00 71 E0 
000002C1,08 00 00 00 00 00 00 D3 
00000621,11 00 00 00 00 00 00 00 
00000260,00 00 00 00 00 00 00 6A 
00000442,40 02 00 00 00 00 00 00 
00000622,12 00 00 00 00 00 00 00 
000002C4,03 7E 00 1A 04 00 71 DE 
00000630,17 00 00 00 00 00 00 00 
00000638,13 00 18 00 00 00 00 00 
00000260,00 00 00 00 00 00 00 6A 
000003A0,00 00 00 00 00 00 00 35 
000002C1,08 00 00 00 00 00 00 D3 
000002C4,03 7E 00 1A 04 00 71 DE 
00000260,00 00 00 00 00 00 00 6A 
000002C4,03 81 00 1A 04 00 71 E1 
000002C1,08 00 00 00 00 00 00 D3 
00000260,00 00 00 00 00 00 00 6A 
000002C4,03 86 00 1A 04 00 71 E6 
00000260,00 00 00 00 00 00 00 6A 
000002C1,08 00 00 00 00 00 00 D3 
00000394,00 
00000260,00 00 00 00 00 00 00 6A 
000002C4,03 86 00 1A 04 00 71 E6 
00000440,42 02 00 00 00 00 00 00 
00000260,00 00 00 00 00 00 00 6A 
000002C1,08 00 00 00 00 00 00 D3 
000003A0,00 00 00 00 00 00 00 35 
000002C4,03 86 00 1A 04 00 71 E6 
00000260,00 00 00 00 00 00 00 6A 
000002C4,03 83 00 1A 04 00 71 E3 
000002C1,08 00 00 00 00 00 00 D3 
00000260,00 00 00 00 00 00 00 6A 
000002C4,03 82 00 1A 04 00 71 E2 
00000260,00 00 00 00 00 00 00 6A 
000003B3,03 83 28 
000002C1,08 00 00 00 00 00 00 D3 
00000442,40 02 00 00 00 00 00 00 
000002C4,03 84 00 1A 04 00 71 E4 
00000260,00 00 00 00 00 00 00 6A 
000002C1,08 00 00 00 00 00 00 D3 
000002C4,03 84 00 1A 04 00 71 E4 
00000260,00 00 00 00 00 00 00 6A 
000003A0,00 00 00 00 00 00 00 35 
00000620,10 00 00 00 30 60 00 50 
00000260,00 00 00 00 00 00 00 6A 
000002C4,03 85 00 1A 04 00 71 E5 
000002C1,08 00 00 00 00 00 00 D3 
00000260,00 00 00 00 00 00 00 6A 
000002C4,03 85 00 1A 04 00 71 E5 
000002C1,08 00 00 00 00 00 00 D3 
00000260,00 00 00 00 00 00 00 6A 
000002C4,03 86 00 1A 04 00 71 E6 
00000440,42 02 00 00 00 00 00 00 
00000260,00 00 00 00 00 00 00 6A 
000002C1,08 00 00 00 00 00 00 D3 
000002C4,03 87 00 1A 04 00 71 E7 
00000260,00 00 00 00 00 00 00 6A 
000003A0,00 00 00 00 00 00 00 35 
000003B1,00 00 01 01 00 00 00 00 
000002C4,03 87 00 1A 04 00 71 E7 
00000260,00 00 00 00 00 00 00 6A 
000002C1,08 00 00 00 00 00 00 D3 
00000260,00 00 00 00 00 00 00 6A 
000002C4,03 88 00 1A 04 00 71 E8 
00000610,20 00 00 64 80 00 00 00 
000002C1,08 00 00 00 00 00 00 D3 
00000260,00 00 00 00 00 00 00 6A 
00000442,40 02 00 00 00 00 00 00 
000002C4,03 89 00 1A 04 00 71 E9 
00000394,00 
00000260,00 00 00 00 00 00 00 6A 
000002C1,08 00 00 00 00 00 00 D3 
