Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
7100,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
17100,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
27100,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
37100,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
47100,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
57100,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
67100,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
77100,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
87100,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
97100,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
107100,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
117100,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
127100,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
137100,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
147000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
157000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
167100,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
177000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
187100,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
197000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
207000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
217000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
227000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
237000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
247000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
257000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
267000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
277000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
287000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
297000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
307000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
317000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
327000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
337000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
347000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
357000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
367000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
377000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
387000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
396900,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
407000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
416900,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
427000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
437000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
446900,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
456900,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
467000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
476900,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
487000,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
496900,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
506900,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
516900,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
526900,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
536900,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
546900,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
556900,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
566900,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
576900,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
586900,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
596900,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
606900,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
616900,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
626900,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
636900,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,B9,
646900,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,8C,
656900,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,9B,
666800,0000013A,false,Rx,0,8,3F,00,31,00,00,00,00,AA,
