ID,Data Bytes
0000018E,00 04 1C 
00000164,04 00 00 37 85 00 00 3F 
00000039,00 1B 
00000136,00 02 00 00 00 00 00 0C 
0000013A,3F 00 31 00 00 00 00 8C 
0000013F,00 00 00 00 00 00 00 05 
00000158,00 00 00 00 00 00 00 0A 
0000017C,00 00 03 FF 10 00 00 02 
000001DC,02 03 FF 0B 
0000018E,00 04 2B 
00000164,04 00 00 37 85 00 00 02 
000001A4,00 00 00 00 00 00 00 18 
000001B0,00 00 00 00 00 00 57 
000001D0,00 00 00 00 00 00 00 0A 
00000136,00 02 00 00 00 00 00 1B 
0000013A,3F 00 31 00 00 00 00 9B 
0000013F,00 00 00 00 FF B0 00 1B 
00000158,00 00 00 00 00 00 00 19 
0000017C,00 00 04 07 10 00 00 17 
00000039,00 2A 
00000294,04 8C 00 02 96 0C 00 04 
00000164,04 00 00 37 85 00 00 11 
0000018E,00 04 3A 
00000136,00 02 00 00 00 00 00 2A 
0000013A,3F 00 31 00 00 00 00 AA 
0000013F,00 00 00 00 00 00 00 23 
00000158,00 00 00 00 00 00 00 28 
0000017C,00 00 04 07 10 00 00 26 
000001DC,02 04 07 10 
0000018E,00 06 0B 
00000164,04 00 00 37 85 00 00 20 
00000039,00 39 
000001A4,00 00 00 00 00 00 00 27 
00000305,CE AC 
000001B0,00 00 00 00 00 00 66 
00000309,00 00 00 00 00 00 00 84 
000001D0,00 00 00 00 00 00 00 0A 
00000136,00 02 00 00 00 00 00 39 
0000013A,3F 00 31 00 00 00 00 B9 
0000013F,00 00 00 00 00 00 00 32 
00000158,00 00 00 00 00 00 00 37 
0000017C,00 00 04 07 10 00 00 35 
0000018E,00 03 1D 
00000164,04 00 00 37 85 00 00 3F 
00000136,00 02 00 00 00 00 00 0C 
0000013A,3F 00 31 00 00 00 00 8C 
0000013F,00 00 00 00 FF EC 00 0D 
00000158,00 00 00 00 00 00 00 0A 
0000017C,00 00 04 09 10 00 00 06 
000001DC,02 04 09 2D 
00000039,00 0C 
0000018E,00 01 2E 
00000164,04 00 00 37 85 00 00 02 
000001A4,00 00 00 00 00 00 00 36 
000001B0,00 00 00 00 00 00 75 
000001D0,00 00 00 00 00 00 00 0A 
00000136,00 02 00 00 00 00 00 1B 
0000013A,3F 00 31 00 00 00 00 9B 
0000013F,00 00 00 00 00 00 00 14 
00000158,00 00 00 00 00 00 00 19 
0000017C,00 00 04 09 10 00 00 15 
00000294,04 8C 00 02 96 0C 00 13 
00000164,04 00 00 37 85 00 00 11 
00000039,00 1B 
0000018E,00 04 3A 
00000136,00 02 00 00 00 00 00 2A 
0000013A,3F 00 31 00 00 00 00 AA 
0000013F,00 00 00 00 00 00 00 23 
00000158,00 00 00 00 00 00 00 28 
0000017C,00 00 04 09 10 00 00 24 
000001DC,02 04 09 3C 
0000018E,00 04 0D 
00000164,04 00 00 37 85 00 00 20 
000001A4,00 00 00 00 00 00 00 09 
000001B0,00 00 00 00 00 00 48 
000001D0,00 00 00 00 00 00 00 0A 
00000136,00 02 00 00 00 00 00 39 
0000013A,3F 00 31 00 00 00 00 B9 
0000013F,00 00 00 00 FF D8 00 3F 
00000158,00 00 00 00 00 00 00 37 
00000039,00 2A 
0000017C,00 00 04 0D 10 00 00 3F 
0000018E,00 04 1C 
00000164,04 00 00 37 85 00 00 3F 
00000136,00 02 00 00 00 00 00 0C 
0000013A,3F 00 31 00 00 00 00 8C 
0000013F,00 00 00 00 00 00 00 05 
00000158,00 00 00 00 00 00 00 0A 
