Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18197443,000005F0,false,Rx,0,2,00,00,00,00,00,00,00,00,
18247032,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
18297230,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
18347292,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
18397127,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
18447290,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
18497344,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
18547278,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
18560853,0EF50000,true,Rx,0,2,00,00,00,00,00,00,00,00,
18597379,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
18608646,0EF50000,true,Rx,0,2,78,00,00,00,00,00,00,00,
18631678,00000153,false,Rx,0,8,00,80,00,FF,00,FF,00,00,
18638820,00000153,false,Rx,0,8,00,80,00,FF,00,FF,00,00,
18645708,00000153,false,Rx,0,8,00,80,00,FF,00,FF,00,00,
18645724,000001F0,false,Rx,0,8,00,40,00,00,00,00,00,00,
18645921,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
18647241,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
18652823,00000153,false,Rx,0,8,00,80,00,FF,00,FF,00,00,
18659059,0EF50000,true,Rx,0,2,78,00,00,00,00,00,00,00,
18659461,00000153,false,Rx,0,8,00,80,00,FF,00,FF,00,00,
18666947,00000153,false,Rx,0,8,00,80,00,FF,00,FF,00,00,
18666963,000001F0,false,Rx,0,8,00,40,00,00,00,00,00,00,
18667039,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
18673812,00000153,false,Rx,0,8,00,80,00,FF,00,FF,00,00,
18680798,00000153,false,Rx,0,8,00,80,00,FF,00,FF,00,00,
18681148,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
18681320,000000A0,false,Rx,0,8,00,1E,00,00,00,FF,01,00,
18681663,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
18681810,00000260,false,Rx,0,8,03,04,1A,00,00,AB,69,00,
18682231,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
18682311,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
18682513,00000316,false,Rx,0,8,05,04,00,7D,04,2F,00,80,
18682741,00000329,false,Rx,0,8,0C,7A,80,0E,11,25,00,14,
18687782,00000153,false,Rx,0,8,00,80,00,FF,00,FF,00,00,
18687798,000001F0,false,Rx,0,8,00,40,00,00,00,00,00,00,
18687921,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
18694816,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18697272,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
18701963,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18708795,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18708810,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
18708921,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
18709050,0EF50000,true,Rx,0,2,76,00,00,00,00,00,00,00,
18715677,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18722398,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18729394,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18729645,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
18729937,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
18736389,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18743389,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18747014,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
18750393,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18750644,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
18750938,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
18757384,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18758611,0EF50000,true,Rx,0,2,77,00,00,00,00,00,00,00,
18764373,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18771406,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18771627,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
18771922,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
18778404,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18782238,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
18782322,000000A0,false,Rx,0,8,00,1E,00,00,00,FF,01,00,
18782578,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
18782807,00000260,false,Rx,0,8,05,03,1A,00,00,AB,69,00,
18783220,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
18783297,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
18783528,00000316,false,Rx,0,8,05,04,00,7D,04,2F,00,80,
18783763,00000329,false,Rx,0,8,0C,7A,80,0E,11,24,00,14,
18785607,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18792830,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18792839,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
18792951,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
18797438,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
18799865,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18806580,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18808826,0EF50000,true,Rx,0,2,77,00,00,00,00,00,00,00,
18813786,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18813796,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
18813956,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
18820927,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18827752,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18834708,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18834719,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
18835024,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
18841838,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18847348,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
18848664,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18855818,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18855833,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
18855989,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
18858971,0EF50000,true,Rx,0,2,77,00,00,00,00,00,00,00,
18862571,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18869826,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18876802,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18876816,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
18876987,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
18883451,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
18883473,000000A0,false,Rx,0,8,00,1E,00,00,00,FF,01,00,
18883502,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
18883789,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18884019,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
18884246,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
18884511,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
18884760,00000316,false,Rx,0,8,05,04,00,7D,04,2F,00,80,
18884991,00000329,false,Rx,0,8,0C,7A,80,0E,11,24,00,14,
18890413,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18897316,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
18897398,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18897708,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
18897987,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
18904818,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18909020,0EF50000,true,Rx,0,2,77,00,00,00,00,00,00,00,
18911758,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18918794,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18918809,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
18918989,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
18925825,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18932552,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18939838,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18939854,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
18940006,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
18946750,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18947071,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
18953800,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18959048,0EF50000,true,Rx,0,2,77,00,00,00,00,00,00,00,
18960754,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18960770,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
18961001,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
18967831,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18974424,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18981405,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18981657,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
18981952,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
18984131,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
18984357,000000A0,false,Rx,0,8,00,1E,00,00,00,FF,01,00,
18984587,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
18984842,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
18985078,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
18985334,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
18985561,00000316,false,Rx,0,8,05,04,00,7D,04,2F,00,80,
18985792,00000329,false,Rx,0,8,0C,7A,80,0E,11,23,00,14,
18988403,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18995405,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
18997007,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
19002411,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19002655,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
19002947,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
19008592,0EF50000,true,Rx,0,2,77,00,00,00,00,00,00,00,
19009402,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19016416,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19023397,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19023643,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
19023937,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
19030597,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19037630,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19044622,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19044641,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
19045067,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
19047365,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
19051936,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19058722,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19058731,0EF50000,true,Rx,0,2,77,00,00,00,00,00,00,00,
19065939,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19065948,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
19065950,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
19072853,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19079760,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19085139,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
19085145,000000A0,false,Rx,0,8,00,1E,00,00,00,FF,01,00,
19085445,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
19085647,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
19085872,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
19086174,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
19086362,00000316,false,Rx,0,8,05,04,00,7D,04,2F,00,80,
19086656,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19086839,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
19087254,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
19087279,00000329,false,Rx,0,8,0C,7A,80,0E,11,23,00,14,
19093855,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19097238,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
19100791,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19107835,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19107845,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
19107990,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
19108790,0EF50000,true,Rx,0,2,77,00,00,00,00,00,00,00,
19114705,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19121861,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19128803,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19128815,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
19128992,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
19135517,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19142739,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19147293,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
19149780,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19149791,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
19149994,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
19156765,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19158972,0EF50000,true,Rx,0,2,77,00,00,00,00,00,00,00,
19163569,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19170854,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19170870,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
19171027,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
19177789,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19184854,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19186455,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
19186471,000000A0,false,Rx,0,8,00,1E,00,00,00,FF,01,00,
19186653,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
19186898,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
19187147,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
19187362,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
19187590,00000316,false,Rx,0,8,05,04,00,7D,04,2F,00,80,
19187846,00000329,false,Rx,0,8,0C,7A,80,0E,11,23,00,14,
19191807,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19191823,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
19192007,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
19197339,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
19198618,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19205798,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19208998,0EF50000,true,Rx,0,2,77,00,00,00,00,00,00,00,
19212684,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19212700,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
19213006,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
19219473,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19226425,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19233398,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19233651,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
19233972,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
19240420,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19247023,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
19247418,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19254418,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19255285,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
19255291,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
19258608,0EF50000,true,Rx,0,2,77,00,00,00,00,00,00,00,
19261405,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19268572,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19275642,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19275659,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
19276092,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
19282846,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19287255,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
19287264,000000A0,false,Rx,0,8,00,1E,00,00,00,FF,01,00,
19287353,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
19287990,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
19287999,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
19288075,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
19288652,00000316,false,Rx,0,8,05,04,00,7D,04,2F,00,80,
19288661,00000329,false,Rx,0,8,0C,7A,80,0E,11,23,00,14,
19289646,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19296771,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19296780,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
19297050,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
19297062,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
19303816,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19309054,0EF50000,true,Rx,0,2,77,00,00,00,00,00,00,00,
19310787,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19317786,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19317797,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
19318012,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
19324861,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19331716,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19338832,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
19338848,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
19339016,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
19345831,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
