Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1593920,000005F0,false,Rx,0,2,00,00,00,00,00,00,00,00,
1643759,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
1693698,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
1743755,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
1751564,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
1752155,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
1753111,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
1754320,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
1755249,00000260,false,Rx,0,8,03,04,1A,00,00,AB,69,00,
1756156,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
1757221,00000329,false,Rx,0,8,0C,7D,80,0E,11,2D,00,14,
1758169,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
1761425,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
1762209,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
1763222,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
1764159,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
1765115,00000260,false,Rx,0,8,05,03,1A,00,00,AB,69,00,
1766244,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
1767084,00000329,false,Rx,0,8,0C,7D,80,0E,11,2D,00,14,
1768211,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
1771434,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
1772321,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
1773250,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
1774225,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
1775324,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
1776220,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
1777244,00000329,false,Rx,0,8,0C,7D,80,0E,11,2D,00,14,
1778229,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
1781230,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
1782311,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
1783122,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
1784071,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
1785112,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
1786092,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
1787060,00000329,false,Rx,0,8,0C,7D,80,0E,11,2D,00,14,
1788084,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
1791454,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
1792217,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
1793082,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
1793451,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
1794393,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
1795307,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
1796238,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
1797073,00000329,false,Rx,0,8,0C,7D,80,0E,11,2D,00,14,
1798274,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
1801456,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
1802212,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
1803084,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
1804084,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
1805087,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
1806073,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
1807092,00000329,false,Rx,0,8,0C,7D,80,0E,11,28,00,14,
1808077,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
1811432,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
1812253,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
1813087,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
1814268,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
1815132,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
1816090,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
1817088,00000329,false,Rx,0,8,0C,7D,80,0E,11,23,00,14,
1818249,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
1821456,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
