$STARTTIME=45628.8611853472
Start time: 02/12/2024 20:40:06.414

C:\Users\norman\Documents\Business\AlphaX\CAN stuff\kona\turnonlog.csv

    Generated by PEAK-Converter Version 3.0.3.557
    Data imported from C:\Users\norman\Documents\Business\AlphaX\CAN stuff\kona\turnonlog.trc

-------------------------------------------------------------------------------
   Glossary:
     Rx: The frame was received
     Tx: The frame was transmitted
     DT: CAN or J1939 data frame
     FD: CAN FD data frame
     FB: CAN FD data frame with BRS bit set (Bit Rate Switch)
     FE: CAN FD data frame with ESI bit set (Error State Indicator)
     BI: CAN FD data frame with both BRS and ESI bits set
     RR: Remote Request Frame
     ST: Hardware Status change
     ER: Error Frame
     EV: Event. User-defined text, begins directly after 2-digit type indicator
     Reserved column: Destination address of a J1939 message, if any
-------------------------------------------------------------------------------

Number Time (ms) Bus Direction Type ID (hex) Reserved Length D0 D1 D2 D3 D4 D5 D6 D7 D... 
1 0.100 1 Rx DT 0593 - 6 00 00 FF FF FF FF
2 1.700 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
3 1.900 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
4 2.200 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
5 2.400 1 Rx DT 0368 - 8 00 00 00 00 00 00 00 60
6 2.600 1 Rx DT 0436 - 4 00 00 00 00
7 2.800 1 Rx DT 0453 - 5 00 80 80 00 00
8 3.100 1 Rx DT 0470 - 8 00 00 00 00 00 00 00 20
9 3.400 1 Rx DT 0520 - 8 00 00 00 00 00 00 00 00
10 3.600 1 Rx DT 0130 - 8 A7 7F 66 80 00 00 0D 68
11 3.800 1 Rx DT 0140 - 8 49 81 00 64 20 00 0C 81
12 4.100 1 Rx DT 0541 - 8 03 41 01 80 C0 01 00 1C
13 4.300 1 Rx DT 0162 - 3 EC 01 00
14 4.500 1 Rx DT 0568 - 8 00 04 00 00 00 00 40 00
15 4.800 1 Rx DT 0386 - 8 00 80 00 40 00 40 00 80
16 5.100 1 Rx DT 0387 - 8 02 14 00 00 00 1C 06 00
17 6.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 80 2E
18 6.500 1 Rx DT 0164 - 4 00 08 16 1E
19 6.700 1 Rx DT 0220 - 8 F7 03 80 0C 00 D1 0F BF
20 6.900 1 Rx DT 0251 - 8 4F 03 B6 A2 00 77 A7 7C
21 7.200 1 Rx DT 02B0 - 5 48 FF 00 07 D6
22 7.400 1 Rx DT 0381 - 8 80 B8 3B 00 00 DB 4F 01
23 8.200 1 Rx DT 04F1 - 4 00 00 62 01
24 9.500 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 00
25 9.700 1 Rx DT 0329 - 8 4B 81 7E 8E 11 27 00 10
26 11.300 1 Rx DT 058B - 8 11 00 04 00 00 00 00 00
27 11.700 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
28 11.900 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
29 12.200 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
30 12.400 1 Rx DT 0368 - 8 50 00 00 00 00 00 00 60
31 13.500 1 Rx DT 0495 - 8 00 00 05 1A 80 05 00 00
32 13.800 1 Rx DT 0130 - 8 A4 7F 66 80 00 00 0E A8
33 14.000 1 Rx DT 0140 - 8 49 81 00 64 20 00 0D 9C
34 14.200 1 Rx DT 0162 - 3 EC 01 00
35 16.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 90 3E
36 16.500 1 Rx DT 0164 - 4 00 08 18 10
37 16.800 1 Rx DT 0220 - 8 F7 03 80 0C 00 D3 0F C1
38 17.000 1 Rx DT 0251 - 8 50 03 B7 B4 00 77 B7 7C
39 17.100 1 Rx DT 02B0 - 5 48 FF 00 07 C7
40 18.300 1 Rx DT 050C - 8 10 48 00 E8 08 10 00 60
41 19.400 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 1F
42 19.700 1 Rx DT 0329 - 8 4B 81 7E 8E 11 27 00 10
43 21.700 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
44 22.000 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
45 22.200 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
46 22.500 1 Rx DT 0368 - 8 A0 00 00 00 00 00 00 60
47 22.700 1 Rx DT 0453 - 5 00 80 80 00 00
48 22.900 1 Rx DT 0470 - 8 00 00 04 00 00 00 00 24
49 23.500 1 Rx DT 0130 - 8 A2 7F 66 80 00 00 0F 66
50 23.800 1 Rx DT 0140 - 8 49 81 00 64 20 00 0E BB
51 23.900 1 Rx DT 0162 - 3 EC 01 00
52 24.600 1 Rx DT 0386 - 8 00 C0 00 40 00 40 00 80
53 24.900 1 Rx DT 0387 - 8 02 14 00 00 00 1D 07 00
54 26.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF A0 4E
55 26.500 1 Rx DT 0164 - 4 00 08 1A 12
56 26.700 1 Rx DT 0220 - 8 F7 03 80 0C 00 D2 0F DE
57 27.000 1 Rx DT 0251 - 8 50 03 B8 A5 00 77 A7 7C
58 27.100 1 Rx DT 02B0 - 5 48 FF 00 07 38
59 27.400 1 Rx DT 0381 - 8 80 B8 3B 00 00 DC 50 01
60 28.300 1 Rx DT 04F1 - 4 20 00 62 11
61 29.600 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 2E
62 29.900 1 Rx DT 0329 - 8 4B 81 7E 8E 11 27 00 10
63 31.600 1 Rx DT 0492 - 8 40 FE 8F 2E 00 00 00 80
64 31.800 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
65 32.000 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
66 32.300 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
67 32.600 1 Rx DT 0368 - 8 F0 00 00 00 00 00 00 60
68 33.600 1 Rx DT 0130 - 8 A2 7F 66 80 00 00 00 DD
69 33.800 1 Rx DT 0140 - 8 4A 81 00 64 20 00 0F 41
70 34.000 1 Rx DT 0162 - 3 EC 01 00
71 36.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF B0 5E
72 36.500 1 Rx DT 0164 - 4 00 08 1C 14
73 36.700 1 Rx DT 0220 - 8 F7 03 80 0C 00 D1 0F EF
74 37.000 1 Rx DT 0251 - 8 50 03 B9 A7 00 78 A7 7C
75 37.200 1 Rx DT 02B0 - 5 48 FF 00 07 29
76 39.600 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 3D
77 39.900 1 Rx DT 0329 - 8 4B 81 7E 8E 11 27 00 10
78 41.700 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
79 41.900 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
80 42.200 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
81 42.400 1 Rx DT 0368 - 8 00 00 00 00 00 00 00 60
82 42.700 1 Rx DT 0453 - 5 00 80 80 00 00
83 42.900 1 Rx DT 0470 - 8 00 00 04 00 00 00 00 28
84 43.500 1 Rx DT 0130 - 8 9D 7F 66 80 00 00 01 4A
85 43.800 1 Rx DT 0140 - 8 49 81 00 64 20 00 00 1D
86 43.900 1 Rx DT 0162 - 3 EC 01 00
87 44.700 1 Rx DT 0386 - 8 00 00 00 80 00 40 00 80
88 45.000 1 Rx DT 0387 - 8 02 14 00 00 00 1E 08 00
89 46.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF C0 6E
90 46.500 1 Rx DT 0164 - 4 00 08 00 08
91 46.800 1 Rx DT 0220 - 8 F7 03 80 0C 00 D1 0F FF
92 47.000 1 Rx DT 0251 - 8 51 03 BA BA 00 79 B7 7C
93 47.200 1 Rx DT 02B0 - 5 49 FF 00 07 0A
94 47.400 1 Rx DT 0381 - 8 80 C8 3B 00 00 DD 61 01
95 48.300 1 Rx DT 04F1 - 4 20 00 62 21
96 49.500 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 00
97 49.700 1 Rx DT 0329 - 8 80 81 7E 8E 11 27 00 10
98 51.700 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
99 51.900 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
100 52.200 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
101 52.400 1 Rx DT 0368 - 8 50 00 00 00 00 00 00 60
102 52.600 1 Rx DT 0436 - 4 00 00 00 00
103 53.500 1 Rx DT 0130 - 8 A0 7F 66 80 00 00 02 5D
104 53.800 1 Rx DT 0140 - 8 48 81 00 65 20 00 01 C0
105 53.900 1 Rx DT 0162 - 3 EC 01 00
106 56.400 1 Rx DT 0153 - 8 20 80 10 FF 00 FF D0 7E
107 56.500 1 Rx DT 0164 - 4 00 08 02 0A
108 56.700 1 Rx DT 0220 - 8 F7 03 80 0C 00 CE 0F 0A
109 57.000 1 Rx DT 0251 - 8 53 03 BB DE 00 7A D7 7C
110 57.200 1 Rx DT 02B0 - 5 48 FF 00 07 0B
111 59.300 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 1F
112 59.700 1 Rx DT 0329 - 8 80 81 7E 8E 11 27 00 10
113 61.300 1 Rx DT 058B - 8 11 00 04 00 00 00 00 00
114 61.800 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
115 62.000 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
116 62.300 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
117 62.500 1 Rx DT 0368 - 8 A0 00 00 00 00 00 00 60
118 62.800 1 Rx DT 0453 - 5 00 80 80 00 00
119 63.000 1 Rx DT 0470 - 8 00 00 00 00 00 00 00 6C
120 63.600 1 Rx DT 0130 - 8 B1 7F 66 80 00 00 03 A4
121 63.800 1 Rx DT 0140 - 8 4E 81 00 64 20 00 02 A9
122 64.100 1 Rx DT 0162 - 3 EC 01 00
123 64.700 1 Rx DT 0386 - 8 00 40 00 80 00 40 00 80
124 64.900 1 Rx DT 0387 - 8 02 14 00 00 00 1F 09 00
125 66.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF E0 8E
126 66.500 1 Rx DT 0164 - 4 00 08 04 0C
127 66.800 1 Rx DT 0220 - 8 F7 03 80 0C 00 D0 0F 1C
128 67.000 1 Rx DT 0251 - 8 53 03 BC DF 00 7A D7 7C
129 67.200 1 Rx DT 02B0 - 5 48 FF 00 07 7C
130 67.400 1 Rx DT 0381 - 8 80 D0 3B 00 00 DE 6A 01
131 68.400 1 Rx DT 04F1 - 4 00 00 62 31
132 69.500 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 2E
133 69.800 1 Rx DT 0329 - 8 80 81 7E 8E 11 27 00 10
134 71.700 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
135 71.900 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
136 72.200 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
137 72.500 1 Rx DT 0368 - 8 F0 00 00 00 00 00 00 60
138 73.600 1 Rx DT 0130 - 8 9E 7F 66 80 00 00 04 C4
139 73.800 1 Rx DT 0140 - 8 4C 81 00 64 20 00 03 0E
140 74.000 1 Rx DT 0162 - 3 EC 01 00
141 76.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 00 AE
142 76.500 1 Rx DT 0164 - 4 00 08 06 0E
143 76.700 1 Rx DT 0220 - 8 F7 03 80 10 00 D8 0F 28
144 77.000 1 Rx DT 0251 - 8 54 03 BD D1 00 7A C7 7C
145 77.100 1 Rx DT 02B0 - 5 47 FF 00 07 9D
146 79.600 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 3D
147 79.900 1 Rx DT 0329 - 8 80 81 7E 8E 11 27 00 10
148 81.700 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
149 82.000 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
150 82.300 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
151 82.500 1 Rx DT 0368 - 8 00 00 00 00 00 00 00 60
152 82.700 1 Rx DT 0453 - 5 00 80 80 00 00
153 83.000 1 Rx DT 0470 - 8 00 00 04 00 00 00 00 70
154 83.200 1 Rx DT 0492 - 8 40 FE 8F 2E 00 00 00 44
155 83.400 1 Rx DT 0500 - 1 31
156 83.700 1 Rx DT 0130 - 8 A1 7F 66 80 00 00 05 53
157 84.000 1 Rx DT 0140 - 8 4B 81 00 64 20 00 04 D3
158 84.100 1 Rx DT 0162 - 3 EC 01 00
159 84.600 1 Rx DT 0386 - 8 00 80 00 80 00 40 00 80
160 84.900 1 Rx DT 0387 - 8 02 14 00 00 00 20 0A 00
161 86.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 10 BE
162 86.500 1 Rx DT 0164 - 4 00 08 08 00
163 86.700 1 Rx DT 0220 - 8 F7 03 80 0C 00 CF 0F 3D
164 87.000 1 Rx DT 0251 - 8 54 03 BE E2 00 7A D7 7C
165 87.200 1 Rx DT 02B0 - 5 47 FF 00 07 AE
166 87.400 1 Rx DT 0381 - 8 80 D0 3B 00 00 DF 6B 01
167 87.600 1 Rx DT 0507 - 4 00 00 00 00
168 87.800 1 Rx DT 0586 - 3 00 00 00
169 88.400 1 Rx DT 04F1 - 4 20 00 62 41
170 88.700 1 Rx DT 052A - 8 00 02 00 80 04 00 00 00
171 89.500 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 00
172 89.700 1 Rx DT 0329 - 8 80 81 7E 8E 11 27 00 10
173 91.600 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
174 91.900 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
175 92.100 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
176 92.400 1 Rx DT 0368 - 8 50 00 00 00 00 00 00 60
177 93.600 1 Rx DT 0130 - 8 9D 7F 66 80 00 00 06 19
178 93.800 1 Rx DT 0140 - 8 4D 81 00 64 20 00 05 1D
179 94.000 1 Rx DT 0162 - 3 EC 01 00
180 96.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 20 CE
181 96.500 1 Rx DT 0164 - 4 00 08 0A 02
182 96.800 1 Rx DT 0220 - 8 F7 03 80 0C 00 D0 0F 4C
183 97.000 1 Rx DT 0251 - 8 54 03 BF D3 00 7A C7 7C
184 97.100 1 Rx DT 02B0 - 5 48 FF 00 07 4F
185 99.500 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 1F
186 99.700 1 Rx DT 0329 - 8 80 81 7E 8E 11 27 00 10
187 101.700 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
188 102.000 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
189 102.200 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
190 102.500 1 Rx DT 0368 - 8 A0 00 00 00 00 00 00 60
191 102.800 1 Rx DT 0410 - 8 90 12 60 00 80 03 00 00
192 102.900 1 Rx DT 0436 - 4 00 00 00 00
193 103.200 1 Rx DT 0453 - 5 00 80 80 00 00
194 103.500 1 Rx DT 0470 - 8 00 00 00 00 00 00 00 74
195 103.700 1 Rx DT 0130 - 8 9A 7F 66 80 00 00 07 8A
196 103.900 1 Rx DT 0140 - 8 4E 81 00 64 20 00 06 DD
197 104.100 1 Rx DT 050E - 8 01 00 00 00 00 00 00 00
198 104.400 1 Rx DT 0162 - 3 EC 01 00
199 104.600 1 Rx DT 0386 - 8 00 C0 00 80 00 40 00 80
200 104.900 1 Rx DT 0387 - 8 02 14 00 00 00 21 0B 00
201 105.100 1 Rx DT 0520 - 8 00 00 00 00 00 00 00 00
202 105.400 1 Rx DT 0541 - 8 03 41 01 80 C0 01 00 1C
203 105.700 1 Rx DT 0553 - 8 00 01 91 06 01 01 80 00
204 105.900 1 Rx DT 0559 - 8 00 00 00 00 00 40 00 00
205 106.200 1 Rx DT 0568 - 8 00 04 00 00 00 00 40 00
206 106.400 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 30 DE
207 106.600 1 Rx DT 0164 - 4 00 08 0C 04
208 106.900 1 Rx DT 0220 - 8 F7 03 80 0C 00 CE 0F 5A
209 107.100 1 Rx DT 0251 - 8 54 03 C0 D4 00 7A C7 7C
210 107.300 1 Rx DT 02B0 - 5 47 FF 00 07 40
211 107.500 1 Rx DT 0381 - 8 80 D8 3B 00 00 E0 74 01
212 107.800 1 Rx DT 0572 - 8 00 00 00 00 00 00 00 00
213 108.500 1 Rx DT 04F1 - 4 00 00 62 51
214 109.600 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 2E
215 109.900 1 Rx DT 0329 - 8 E3 81 7E 8E 11 27 00 10
216 111.300 1 Rx DT 058B - 8 11 00 04 00 00 00 00 00
217 111.700 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
218 112.000 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
219 112.300 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
220 112.500 1 Rx DT 0368 - 8 F0 00 00 00 00 00 00 60
221 113.600 1 Rx DT 0495 - 8 00 00 05 1A 80 05 00 00
222 113.800 1 Rx DT 0130 - 8 97 7F 66 80 00 00 08 D7
223 114.000 1 Rx DT 0140 - 8 4B 81 00 64 20 00 07 F4
224 114.200 1 Rx DT 0162 - 3 EC 01 00
225 116.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 40 EE
226 116.500 1 Rx DT 0164 - 4 00 08 0E 06
227 116.700 1 Rx DT 0220 - 8 F7 03 80 0C 00 CD 0F 6B
228 117.000 1 Rx DT 0251 - 8 55 03 C1 E7 00 7B D7 7C
229 117.200 1 Rx DT 02B0 - 5 47 FF 00 07 51
230 118.600 1 Rx DT 050C - 8 10 48 00 E8 08 10 00 70
231 119.600 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 3D
232 119.900 1 Rx DT 0329 - 8 E3 81 7E 8E 11 27 00 10
233 121.700 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
234 121.900 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
235 122.200 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
236 122.500 1 Rx DT 0368 - 8 00 00 00 00 00 00 00 60
237 122.700 1 Rx DT 0453 - 5 00 80 80 00 00
238 123.000 1 Rx DT 0470 - 8 00 00 04 00 00 00 00 78
239 123.600 1 Rx DT 0130 - 8 92 7F 66 80 00 00 09 FE
240 123.800 1 Rx DT 0140 - 8 47 81 00 64 20 00 08 F4
241 123.900 1 Rx DT 0162 - 3 EC 01 00
242 124.700 1 Rx DT 0386 - 8 00 00 00 C0 00 40 00 80
243 125.000 1 Rx DT 0387 - 8 02 14 00 00 00 22 0C 00
244 126.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 50 FE
245 126.500 1 Rx DT 0164 - 4 00 08 10 18
246 126.800 1 Rx DT 0220 - 8 F7 03 80 0C 00 CB 0F 79
247 127.000 1 Rx DT 0251 - 8 55 03 C2 F9 00 7C E7 7C
248 127.200 1 Rx DT 02B0 - 5 48 FF 00 07 92
249 127.400 1 Rx DT 0381 - 8 80 D8 3B 00 00 E1 75 01
250 128.500 1 Rx DT 04F1 - 4 00 00 62 61
251 129.500 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 00
252 129.700 1 Rx DT 0329 - 8 E3 81 7E 8E 11 27 00 10
253 131.600 1 Rx DT 0492 - 8 40 FE 8F 2E 00 00 00 08
254 131.800 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
255 132.000 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
256 132.300 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
257 132.600 1 Rx DT 0368 - 8 50 00 00 00 00 00 00 60
258 133.600 1 Rx DT 0130 - 8 A4 7F 66 80 00 00 0A DC
259 133.800 1 Rx DT 0140 - 8 49 81 00 64 20 00 09 E8
260 134.000 1 Rx DT 0162 - 3 EC 01 00
261 136.400 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 60 0E
262 136.500 1 Rx DT 0164 - 4 00 08 12 1A
263 136.700 1 Rx DT 0220 - 8 F7 03 80 0C 00 C9 0F 87
264 137.000 1 Rx DT 0251 - 8 55 03 C3 EA 00 7C D7 7C
265 137.200 1 Rx DT 02B0 - 5 47 FF 00 07 73
266 139.500 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 1F
267 139.800 1 Rx DT 0329 - 8 E3 81 7E 8E 11 27 00 10
268 141.700 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
269 142.000 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
270 142.200 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
