Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5300,00000410,false,Rx,0,8,11,00,21,0C,00,EE,05,C1,
5500,00000411,false,Rx,0,8,01,FF,FF,00,01,00,00,3D,
5800,00000412,false,Rx,0,8,00,4E,01,4E,01,10,01,00,
6300,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
15300,00000410,false,Rx,0,8,11,00,21,0C,00,F8,05,C1,
15600,00000411,false,Rx,0,8,01,FF,FF,00,01,00,00,3D,
15800,00000412,false,Rx,0,8,00,4F,01,4F,01,10,01,00,
16000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
25300,00000410,false,Rx,0,8,11,00,21,0C,00,F8,05,C1,
25500,00000411,false,Rx,0,8,01,FF,FF,00,01,00,00,3D,
25800,00000412,false,Rx,0,8,00,4F,01,4F,01,10,01,00,
26300,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
35300,00000410,false,Rx,0,8,11,00,21,0C,00,EE,05,C1,
35500,00000411,false,Rx,0,8,01,FF,FF,00,01,00,00,3D,
35800,00000412,false,Rx,0,8,00,4E,01,4E,01,10,01,00,
36000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
45300,00000410,false,Rx,0,8,11,00,21,0C,00,EE,05,C1,
45600,00000411,false,Rx,0,8,01,FF,FF,00,01,00,00,3D,
45800,00000412,false,Rx,0,8,00,4E,01,4E,01,10,01,00,
46300,00000600,false,Rx,0,8,00,DA,01,4C,CA,2A,38,00,
46500,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
55300,00000410,false,Rx,0,8,11,00,21,0C,00,FB,05,C1,
55500,00000411,false,Rx,0,8,01,FF,FF,00,01,00,00,3D,
55800,00000412,false,Rx,0,8,00,4F,01,4F,01,10,01,00,
56000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
65300,00000410,false,Rx,0,8,11,00,21,0C,00,FB,05,C1,
65600,00000411,false,Rx,0,8,01,FF,FF,00,01,00,00,3D,
65800,00000412,false,Rx,0,8,00,4F,01,4F,01,10,01,00,
66300,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
75300,00000410,false,Rx,0,8,11,00,21,0C,00,F0,05,C1,
75600,00000411,false,Rx,0,8,01,FF,FF,00,01,00,00,3D,
75800,00000412,false,Rx,0,8,00,4E,01,4E,01,10,01,00,
76000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
85400,00000410,false,Rx,0,8,11,00,21,0C,00,F0,05,C1,
85600,00000411,false,Rx,0,8,01,FF,FF,00,01,00,00,3D,
85900,00000412,false,Rx,0,8,00,4E,01,4E,01,10,01,00,
86300,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
95300,00000410,false,Rx,0,8,11,00,21,0C,00,FC,05,C1,
95600,00000411,false,Rx,0,8,01,FF,FF,00,01,00,00,3D,
95800,00000412,false,Rx,0,8,00,50,01,50,01,10,01,00,
96000,00000600,false,Rx,0,8,00,DF,01,4C,CB,2A,38,00,
96300,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
105300,00000410,false,Rx,0,8,11,00,21,0C,00,FC,05,C1,
105500,00000411,false,Rx,0,8,01,FF,FF,00,01,00,00,3D,
105800,00000412,false,Rx,0,8,00,50,01,50,01,10,01,00,
106300,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
115300,00000410,false,Rx,0,8,11,00,21,0C,00,F3,05,C1,
115500,00000411,false,Rx,0,8,01,31,00,00,01,00,00,3D,
115800,00000412,false,Rx,0,8,00,50,01,50,01,10,01,00,
116000,00000601,false,Rx,0,8,00,D4,00,35,00,64,00,00,
125300,00000410,false,Rx,0,8,11,00,21,0C,00,F3,05,C1,
125600,00000411,false,Rx,0,8,01,31,00,00,01,00,00,3D,
125800,00000412,false,Rx,0,8,00,50,01,50,01,10,01,00,
126300,00000601,false,Rx,0,8,00,D4,00,35,00,64,00,00,
135300,00000410,false,Rx,0,8,11,00,21,0C,00,FD,05,C1,
135500,00000411,false,Rx,0,8,01,31,00,00,01,00,00,3D,
135800,00000412,false,Rx,0,8,00,51,01,51,01,10,01,00,
136000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
145300,00000410,false,Rx,0,8,11,00,21,0C,00,FD,05,C1,
