Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
7700,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CB,80,
27700,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CD,80,
47700,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CF,80,
67700,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C1,80,
87700,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C3,80,
107700,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C5,80,
127700,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C7,80,
147800,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C9,80,
167700,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CB,80,
187700,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CD,80,
207700,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CF,80,
227800,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C1,80,
247800,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C3,80,
267800,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C5,80,
287700,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C7,80,
307700,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C9,80,
327800,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CB,80,
347800,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CD,80,
367800,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CF,80,
387800,00000514,false,Rx,0,8,00,08,78,00,4C,2B,C1,80,
407800,00000514,false,Rx,0,8,00,08,78,00,4C,2B,C3,80,
427800,00000514,false,Rx,0,8,00,08,78,00,CC,2A,C5,80,
447800,00000514,false,Rx,0,8,00,08,78,00,CC,2A,C7,80,
467800,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C9,80,
487800,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CB,80,
507800,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CD,80,
527800,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CF,80,
547800,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C1,80,
567800,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C3,80,
587800,00000514,false,Rx,0,8,00,08,78,00,CC,2A,C5,80,
607800,00000514,false,Rx,0,8,00,08,78,00,CC,2A,C7,80,
627800,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C9,80,
647800,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CB,80,
667800,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CD,80,
687800,00000514,false,Rx,0,8,00,08,78,00,0C,2B,CF,80,
707900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C1,80,
727900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,C3,80,
